Date,Aachen,Alsdorf,Baesweiler,Eschweiler,Herzogenrath,Monschau,nochnichtlokalzugeordnet,Roetgen,Simmerath,Stolberg,WÃ¼rselen
20200812,1070,121,96,162,205,63,,21,78,171,194
20200814,1088,121,96,166,206,64,,21,78,177,195
20200817,1093,122,100,169,206,64,,21,79,181,197
20200818,1102,123,101,172,207,64,,21,79,181,198
20200819,1106,123,102,175,210,64,,21,79,183,198
20200820,1112,125,102,175,209,64,,21,79,189,198
20200821,1114,128,103,175,209,64,,21,79,190,198
20200824,1126,132,105,175,210,64,,21,79,200,199
20200825,1128,132,105,176,211,64,,21,79,201,199
20200826,1131,132,106,177,214,64,,21,79,201,199
20200827,1136,132,106,178,214,65,,21,79,201,201
20200828,1140,136,106,178,214,65,,21,79,206,203
20200831,1144,136,106,178,214,65,,21,80,206,203
20200901,1149,138,107,178,214,65,,21,80,208,203
20200902,1151,139,107,180,214,65,,21,80,209,204
20200903,1157,139,107,181,215,65,,21,80,209,204
20200904,1161,139,108,182,215,65,,21,80,209,204
20200907,1164,140,108,181,216,65,,21,80,209,205
20200908,1166,140,108,182,216,65,,21,80,209,206
20200909,1171,142,108,182,216,65,,21,80,209,206
20200910,1178,143,108,185,216,65,,21,80,209,207
20200911,1186,145,108,190,216,65,,21,80,209,209
20200914,1200,150,109,193,219,65,,22,80,209,211
20200915,1210,151,110,195,219,65,,22,80,214,211
20200916,1224,154,110,200,220,65,,22,81,214,213
20200917,1232,158,110,203,220,66,,22,81,215,215
20200918,1248,162,111,207,221,66,,22,81,216,216
20200921,1252,174,111,208,221,66,,22,81,217,216
20200922,1261,175,111,211,221,66,,22,81,220,216
20200923,1268,179,114,211,221,67,,22,82,220,216
20200924,1279,185,114,211,222,67,,22,82,222,217
20200925,1293,189,114,212,224,67,,22,82,223,217
20200928,1325,202,115,219,227,67,,22,82,230,218
20200929,1333,202,116,220,227,67,,22,82,230,219
20200930,1342,203,116,221,230,67,,22,82,231,220
20201001,1371,210,119,222,231,67,,22,82,232,220
20201002,1395,212,119,223,237,67,,22,82,234,221
20201005,1439,221,120,226,240,67,,22,82,239,227
20201006,1445,221,120,226,240,67,,22,82,240,228
20201007,1468,229,125,227,242,68,,22,82,241,232
20201008,1496,235,127,232,244,68,,22,82,249,233
20201009,1515,242,130,234,246,69,,22,83,253,233
20201012,1585,258,137,240,258,73,,22,83,269,242
20201013,1594,259,144,240,259,73,,22,83,271,243
20201014,1626,266,154,244,264,73,,22,84,272,252
20201015,1672,282,176,256,272,77,,24,89,284,261
20201016,1729,293,189,261,281,78,,25,93,293,267
20201019,1838,330,213,288,297,89,,28,103,311,281
20201020,1855,331,225,292,298,90,,28,104,312,281
20201021,1894,340,241,299,302,92,,32,110,316,286
20201022,1973,361,263,317,315,93,,32,116,336,297
20201023,2031,390,278,326,339,97,,34,123,357,313
20201026,2252,440,363,371,384,107,28,39,139,413,353
20201027,2278,448,373,375,394,109,28,44,142,426,352
20201028,2322,466,381,387,416,112,5,44,142,443,364
20201029,2397,489,404,409,447,117,,45,144,469,380
20201030,2512,512,423,441,479,123,,46,148,504,403
